Time,TSI
1,52.04
2,52.04
3,52.02
4,52.02
5,51.99
6,51.99
7,51.97
8,51.97
9,51.99
10,51.99
11,51.99
12,51.99
13,51.96
14,51.96
15,51.94
16,51.94
17,51.95
18,51.95
19,51.96
20,51.96
21,51.94
22,51.94
23,51.91
24,51.91
25,51.91
26,51.91
27,51.92
28,51.92
29,51.92
30,51.92
31,51.94
32,51.94
33,51.95
34,51.95
35,51.93
36,51.93
37,51.88
38,51.88
39,51.83
40,51.83
41,51.81
42,51.81
43,51.82
44,51.82
45,51.85
46,51.85
47,51.89
48,51.89
49,51.94
50,51.94
51,51.97
52,51.97
53,51.98
54,51.98
55,51.94
56,51.94
57,51.88
58,51.88
59,51.83
60,51.83
61,51.8
62,51.8
63,51.78
64,51.78
65,51.77
66,51.77
67,51.75
68,51.75
69,51.74
70,51.74
71,51.74
72,51.74
73,51.73
74,51.73
75,51.7
76,51.7
77,51.68
78,51.68
79,51.67
80,51.67
81,51.7
82,51.7
83,51.77
84,51.77
85,51.83
86,51.83
87,51.85
88,51.85
89,51.86
90,51.86
91,51.86
92,51.86
93,51.83
94,51.83
95,51.78
96,51.78
97,51.73
98,51.73
99,51.72
100,51.72
101,51.7
102,51.7
103,51.69
104,51.69
105,51.68
106,51.68
107,51.69
108,51.69
109,51.69
110,51.69
111,51.69
112,51.69
113,51.69
114,51.69
115,51.68
116,51.68
117,51.69
118,51.69
119,51.72
120,51.72
121,51.74
122,51.74
123,51.72
124,51.72
125,51.67
126,51.67
127,51.61
128,51.61
129,51.59
130,51.59
131,51.63
132,51.63
133,51.69
134,51.69
135,51.75
136,51.75
137,51.77
138,51.77
139,51.73
140,51.73
141,51.67
142,51.67
143,51.62
144,51.62
145,51.6
146,51.6
147,51.61
148,51.61
149,51.65
150,51.65
151,51.72
152,51.72
153,51.79
154,51.79
155,51.79
156,51.79
157,51.75
158,51.75
159,51.68
160,51.68
161,51.65
162,51.65
163,51.65
164,51.65
165,51.68
166,51.68
167,51.71
168,51.71
169,51.74
170,51.74
171,51.77
172,51.77
173,51.78
174,51.78
175,51.75
176,51.75
177,51.7
178,51.7
179,51.67
180,51.67
181,51.64
182,51.64
183,51.61
184,51.61
185,51.62
186,51.62
187,51.61
188,51.61
189,51.59
190,51.59
191,51.57
192,51.57
193,51.58
194,51.58
195,51.63
196,51.63
197,51.66
198,51.66
199,51.62
200,51.62
201,51.56
202,51.56
203,51.52
204,51.52
205,51.47
206,51.47
207,51.44
208,51.44
209,51.46
210,51.46
211,51.55
212,51.55
213,51.63
214,51.63
215,51.67
216,51.67
217,51.66
218,51.66
219,51.61
220,51.61
221,51.56
222,51.56
223,51.53
224,51.53
225,51.52
226,51.52
227,51.51
228,51.51
229,51.48
230,51.48
231,51.44
232,51.44
233,51.44
234,51.44
235,51.46
236,51.46
237,51.48
238,51.48
239,51.48
240,51.48
241,51.45
242,51.45
243,51.4
244,51.4
245,51.36
246,51.36
247,51.36
248,51.36
249,51.36
250,51.36
251,51.35
252,51.35
253,51.35
254,51.35
255,51.37
256,51.37
257,51.39
258,51.39
259,51.43
260,51.43
261,51.49
262,51.49
263,51.55
264,51.55
265,51.58
266,51.58
267,51.56
268,51.56
269,51.54
270,51.54
271,51.5
272,51.5
273,51.45
274,51.45
275,51.42
276,51.42
277,51.43
278,51.43
279,51.41
280,51.41
281,51.37
282,51.37
283,51.35
284,51.35
285,51.35
286,51.35
287,51.37
288,51.37
289,51.41
290,51.41
291,51.44
292,51.44
293,51.47
294,51.47
295,51.54
296,51.54
297,51.63
298,51.63
299,51.66
300,51.66
301,51.58
302,51.58
303,51.44
304,51.44
305,51.33
306,51.33
307,51.24
308,51.24
309,51.15
310,51.15
311,51.11
312,51.11
313,51.13
314,51.13
315,51.13
316,51.13
317,50.98
318,50.98
