Time,TSI
1,72.9
2,72.9
3,72.86
4,72.86
5,72.84
6,72.84
7,72.82
8,72.82
9,72.81
10,72.81
11,72.8
12,72.8
13,72.8
14,72.8
15,72.83
16,72.83
17,72.86
18,72.86
19,72.88
20,72.88
21,72.88
22,72.88
23,72.86
24,72.86
25,72.8
26,72.8
27,72.72
28,72.72
29,72.65
30,72.65
31,72.61
32,72.61
33,72.59
34,72.59
35,72.57
36,72.57
37,72.52
38,72.52
39,72.46
40,72.46
41,72.42
42,72.42
43,72.39
44,72.39
45,72.39
46,72.39
47,72.41
48,72.41
49,72.42
50,72.42
51,72.38
52,72.38
53,72.32
54,72.32
55,72.26
56,72.26
57,72.19
58,72.19
59,72.12
60,72.12
61,72.07
62,72.07
63,72.03
64,72.03
65,71.98
66,71.98
67,71.94
68,71.94
69,71.94
70,71.94
71,71.98
72,71.98
73,72.02
74,72.02
75,72.03
76,72.03
77,72.02
78,72.02
79,72.01
80,72.01
81,72.01
82,72.01
83,71.99
84,71.99
85,71.94
86,71.94
87,71.88
88,71.88
89,71.83
90,71.83
91,71.78
92,71.78
93,71.74
94,71.74
95,71.72
96,71.72
97,71.69
98,71.69
99,71.67
100,71.67
101,71.68
102,71.68
103,71.7
104,71.7
105,71.72
106,71.72
107,71.74
108,71.74
109,71.76
110,71.76
111,71.76
112,71.76
113,71.75
114,71.75
115,71.72
116,71.72
117,71.69
118,71.69
119,71.67
120,71.67
121,71.63
122,71.63
123,71.57
124,71.57
125,71.5
126,71.5
127,71.46
128,71.46
129,71.42
130,71.42
131,71.42
132,71.42
133,71.47
134,71.47
135,71.55
136,71.55
137,71.61
138,71.61
139,71.64
140,71.64
141,71.62
142,71.62
143,71.58
144,71.58
145,71.5
146,71.5
147,71.41
148,71.41
149,71.33
150,71.33
151,71.26
152,71.26
153,71.2
154,71.2
155,71.18
156,71.18
157,71.19
158,71.19
159,71.2
160,71.2
161,71.21
162,71.21
163,71.24
164,71.24
165,71.26
166,71.26
167,71.24
168,71.24
169,71.21
170,71.21
171,71.2
172,71.2
173,71.21
174,71.21
175,71.17
176,71.17
177,71.07
178,71.07
179,70.96
180,70.96
181,70.84
182,70.84
183,70.74
184,70.74
185,70.69
186,70.69
187,70.69
188,70.69
189,70.75
190,70.75
191,70.84
192,70.84
193,70.91
194,70.91
195,70.95
196,70.95
197,70.97
198,70.97
199,70.97
200,70.97
201,70.93
202,70.93
203,70.85
204,70.85
205,70.77
206,70.77
207,70.66
208,70.66
209,70.52
210,70.52
211,70.38
212,70.38
213,70.26
214,70.26
215,70.19
216,70.19
217,70.16
218,70.16
219,70.19
220,70.19
221,70.24
222,70.24
223,70.3
224,70.3
225,70.38
226,70.38
227,70.45
228,70.45
229,70.49
230,70.49
231,70.49
232,70.49
233,70.47
234,70.47
235,70.4
236,70.4
237,70.31
238,70.31
239,70.22
240,70.22
241,70.16
242,70.16
243,70.14
244,70.14
245,70.19
246,70.19
247,70.27
248,70.27
249,70.34
250,70.34
251,70.39
252,70.39
253,70.42
254,70.42
255,70.4
256,70.4
257,70.36
258,70.36
259,70.3
260,70.3
261,70.21
262,70.21
263,70.11
264,70.11
265,70.01
266,70.01
267,69.92
268,69.92
269,69.84
270,69.84
271,69.78
272,69.78
273,69.75
274,69.75
275,69.73
276,69.73
277,69.75
278,69.75
279,69.81
280,69.81
281,69.88
282,69.88
283,69.9
284,69.9
285,69.88
286,69.88
